Exercise Number,Exercise Name,Rep Scheme,Rest_Time,Training Notes
1,Box Squat 3,/8x,3,@50% + 25% accommodating
2,Sumo Deadlift against o band 7,/0x4,3,) Barbell Glute Hip Thrusts 2/4 x 5-5s-4-4-4-38-2-2s-1-1s
4,Goblet Reverse Lunges 1,/3x 1,2,each
1,Anderson Front Squat 1RM in,1,0,sets 2:30
2,Reverse Bond Trap Bor ROL 2,/4x8-10,90s,*Sub Straight bor if needed
3,Double KB Box Squat 2,/4x8-10,90s,"14-15"" Box"
4,Russian Kettlebell Swings 4x25 6,0,5,Squeeze glutes at top
5,Standing Banded Abs 0,/4x 8-10,60s,CONJUGATE CONDITIONING
2,Sumo Deadlift against a band 8,/0x3,3,) Barbell Glute Hip Thrusts 2/4x §5-5s-4-4s-4-3s-2-2s-1-Is
4,Goblet Reverse Lunges 1,/3x 1,2,each
2,Back Squat to pins 5,/0x4,2,:00 Pins set above parallel
3,Single-Leg Supported RDLs 2,/4x 6-,8,each 90s
4,Bonded Glute Bridges 0,/4x15,60s,Squeeze glutes ot top
5,Straight Leg Raises 0,/4x 8-10,60s,CONJUGATACONDITIONING
3,"Rear Foot Elevated Split

2",/4x6-,8,each
4,Bond Resisted Russian KBS EMOM 5 x,2,0,reps
5,"Banded Alphabet 3 sets on each side

Rest interval

Every 60s

90s

90s

Remaining time in the minute",6,0s,Work Weight or Max
1,Lup Deni 0x,4,2,Elevote plates to maintain a
2,Bock Squat to pins 5,/0x4,2,:00 *Gonl = 5% heavier than last
3,Single-Leq Supported RDLs 1,/4x6-,8,each 90s
4,Bonded Glute Bridges 0,/4x15,60s,Squeeze glutes at top
3,Rear Foot Elevated Split Squats 2,/4x6-,8,each 90s
4,Bond Resisted Russian KBS EMOM 5x,2,0,reps : *AHAP
5,Bonded Alphabet 3 sets on each side,6,0s,CONJUGATACONDITIONING
1,Sumo Stance Rock Deadlift 1RM in,1,0,sets 3:00 of 10 sets. Set bor so it’s right
2,Goblet Squat 2,/4x10-12,90s,Pouse on each rep for a 1 count
3,Glute Ham Raises Accumulate 30 reps 60s -,9,0s,4) Single Leq Glute Hip Thrust 0/4x12-15 each 60s *Squeeze glutes at top
5,Stir the Pot 4x,2,0s,on Als
3,BB Glute Bridge 2,/4x 8-10,4,) Lateral Step-ups 1/3x 8-10 each
5,KB March 8x 20s on,/1,0s,off
1,Anderson Back Squat 1RM in,1,0,"sets 3:00 of 10 sets, Set pins s° you start"
2,Goblet Squat 2,/4x10-12,905,Pouse on each rep for a 1 count
3,Glute Ham Raises Accumulate 30-40 reps 60s -,9,0s,Increase volume from last
4,Single Leq Glute Hip Thrust 0,/4x12-1,5,each 60s *Squeeze glutes at top
5,Stir the Pot 4x,2,0s,on Als
3,BB Glute Bridge 2,/4x 8-10,4,) Lateral Step-ups 1/3x 8-10 each
5,KB March 8x 20s on,/1,0s,off
3,Offset Landmine Reverse 1,/3x 12-1,5,each 60s *Non-alternating
5,"Landmine Rotations froma

0",/3 x 2,0,total 60s
3,Londmine Split Squats 1,/4x 8-1,0,each 60s
4,Single-Leq Landmine ROL 1,/4x 8-1,0,each 60s
3,Offset Landmine Reverse 1,/3x 12-1,5,each 60s *Non-alternating
5,"Landmine Rotations froma

0",/3 x 2,0,total 60s
3,Londmine Split Squats 1,/4x 8-1,0,each 60s
4,Single-Leq Landmine ROL 1,/4x 8-1,0,each 60s
3,Dimel Deadlifts 1,/3x 30,60s,30-40% of IRM Deadlift
4,Fat Grip 1-Arm Rows 1,/4x 8-1,0,eo. 60s
9,Landmine ROL 0,/4x 8-10,0s,This is done bilaterally so make
4,DB Split Squats 1,/3 x 8-1,0,ea. 60s
3,Londmine ROL 2,/4x 8-10,80s,4) DB Split Squats 1/3 x 8-10 ea. 60s
5,Double KB Swings 0,/4x 25,60s,Moderate height box
1,Double KB Box Squat 2,/4x 8-10,90s,go. Match lost weeks top set
2,OB Reverse Lunges 1,/3 x 8-1,0,each 60s Reverse Lunges right +3 Left
3,0B RDLs 2,/3x 8-1,0,each 60s
4,Fat Grip 1-Arm Rows 1,/4x 8-1,0,eo. 60s
5,RKC Plank 4x 20s on,/4,0s,off Als
3,Londmine ROL 2,/3x 8-10,90s,Done bilaterally
1,Deadlift 1RM in,1,0,set 3:00 .
2,OB Reverse Lunges 3x,1,0,en. 60s *Alternating legs
3,1-Arm KB Rows with rotation 3x,1,0,eg. 60s
4,Barbell Curls 2,1,5,) Bonded Upper Buck Complex
2,Glute Hip Thrusts V,/3x10,60s,fora | count at top of ench ren
3,Goblet Squats 1,/3x10,60s,Light/slow & controlled reps
4,"Bonded Pallof Press Hyper use ittoday -2x 30

0",/3 x,8,eo. 60s
